chr1	22450	22851	chr1_22338_22777
chr1	22898	23299	chr1_22777_23194
chr1	25068	25469	chr1_25014_25405
chr1	25470	25871	chr1_25405_25893
chr1	57351	57752	chr1_57493_57693
chr1	93759	94160	chr1_92535_94694
chr1	98930	99331	chr1_98946_99654
chr1	100003	100404	chr1_100099_101614
chr1	109970	110371	chr1_109852_110840
chr1	118178	118579	chr1_118192_118821
chr1	118967	119368	chr1_118821_119560
chr1	119526	119927	chr1_119560_120087
chr1	120037	120438	chr1_120087_120500
chr1	133808	134209	chr1_133765_134471
chr1	134984	135385	chr1_135096_135675
chr1	162794	163195	chr1_161750_163444
chr1	174217	174618	chr1_173863_174840
chr1	178679	179080	chr1_178662_179204
chr1	186841	187242	chr1_186741_187111
chr1	191941	192342	chr1_191694_192548
chr1	199065	199466	chr1_199074_199411
chr1	204850	205251	chr1_204766_205136
chr1	209912	210313	chr1_210043_210247
chr1	339431	339832	chr1_339441_340157
chr1	371647	372048	chr1_371819_372041
chr1	385070	385471	chr1_385142_385398
chr1	388649	389050	chr1_388590_388899
chr1	453958	454359	chr1_453943_454525
chr1	454496	454897	chr1_454604_454859
chr1	455682	456083	chr1_455800_456371
chr1	456828	457229	chr1_456837_457243
chr1	459044	459445	chr1_459064_459552
chr1	497600	498001	chr1_497528_498059
chr1	525807	526208	chr1_525800_526167
chr1	533003	533404	chr1_533001_533333
chr1	555252	555653	chr1_555352_555535
chr1	589132	589533	chr1_588838_589812
chr1	591810	592211	chr1_591896_592094
chr1	594322	594723	chr1_594226_594661
chr1	603524	603925	chr1_603463_604122
chr1	604694	605095	chr1_604656_605102
chr1	618684	619085	chr1_618542_618971
chr1	640193	640594	chr1_640231_640495
chr1	640402	640803	chr1_640495_640739
chr1	647077	647478	chr1_647087_647433
chr1	654655	655056	chr1_654765_654935
chr1	717671	718072	chr1_717761_718274
chr1	719629	720030	chr1_719625_720172
chr1	720651	721052	chr1_720767_721127
chr1	725905	726306	chr1_725785_726558
chr1	795379	795780	chr1_795445_795661
chr1	798809	799210	chr1_798905_799196
chr1	809093	809494	chr1_809103_810049
chr1	815620	816021	chr1_815580_816127
chr1	840101	840502	chr1_839122_841727
chr1	931069	931470	chr1_930358_931485
chr1	1005187	1005588	chr1_1005150_1005674
chr1	1052584	1052985	chr1_1052566_1053308
chr1	1073723	1074124	chr1_1073565_1074360
chr1	1076406	1076807	chr1_1076347_1076903
chr1	1081850	1082251	chr1_1081850_1082541
chr1	1235214	1235615	chr1_1235317_1235512
chr1	1235461	1235862	chr1_1235512_1235722
chr1	1280662	1281063	chr1_1280743_1281064
chr1	1347347	1347748	chr1_1347328_1347765
chr1	1374480	1374881	chr1_1374470_1374899
chr1	1387802	1388203	chr1_1387777_1389067
chr1	1477363	1477764	chr1_1477285_1478932
chr1	1488406	1488807	chr1_1488364_1489669
chr1	1557267	1557668	chr1_1557340_1557940
chr1	1558329	1558730	chr1_1558155_1559048
chr1	1564497	1564898	chr1_1564464_1565066
chr1	1590109	1590510	chr1_1590091_1590777
chr1	1592187	1592588	chr1_1592318_1593027
chr1	1614503	1614904	chr1_1614460_1615640
chr1	1615856	1616257	chr1_1615904_1616209
chr1	1630850	1631251	chr1_1630899_1631202
chr1	1631451	1631852	chr1_1631523_1631813
chr1	1632523	1632924	chr1_1632560_1633166
chr1	1648364	1648765	chr1_1647222_1649045
chr1	1680940	1681341	chr1_1680730_1681468
chr1	1691246	1691647	chr1_1691359_1691581
chr1	1692245	1692646	chr1_1692028_1692954
chr1	1709506	1709907	chr1_1709591_1709835
chr1	1716336	1716737	chr1_1716400_1716623
chr1	1738271	1738672	chr1_1738255_1738680
chr1	1865514	1865915	chr1_1865542_1865803
chr1	1985338	1985739	chr1_1984833_1986329
chr1	2057388	2057789	chr1_2056842_2059300
chr1	2059402	2059803	chr1_2059410_2060153
chr1	2072089	2072490	chr1_2071833_2072905
chr1	2080166	2080567	chr1_2079648_2080657
chr1	2084359	2084760	chr1_2084454_2084623
chr1	2090099	2090500	chr1_2090189_2090489
